user_id,round_id,round_start_time,round_end_time,round_duration,round_score,round_errors,human_accuracy,agent_accuracy,enemy_spawn_count,conflict_count,human_signal_count,agent_signal_count
Negotiation_12,R1,2026-08-24T06:34:36.446251Z,2026-08-24T06:36:36.240293Z,119.79,15,5,0.9,0.462,20,1,33,21
Negotiation_12,R2,2026-08-24T06:36:42.340416Z,2026-08-24T06:38:59.374816Z,137.03,16,4,0.571,0.615,20,0,37,23
Negotiation_12,R3,2026-08-24T06:40:17.291453Z,2026-08-24T06:42:13.096849Z,115.81,16,4,0.545,0.526,20,0,32,22
Negotiation_12,R4,2026-08-24T06:42:17.637723Z,2026-08-24T06:44:06.023849Z,108.39,15,5,0.667,0.583,20,0,30,20
Negotiation_12,R5,2026-08-24T06:45:23.893556Z,2026-08-24T06:47:46.581035Z,142.69,14,6,0.625,0.643,20,2,40,24
Negotiation_12,R6,2026-08-24T06:47:51.420179Z,2026-08-24T06:50:00.541464Z,129.12,14,6,0.545,0.8,20,2,37,24
