user_id,round_id,round_start_time,round_end_time,round_duration,round_score,round_errors,human_accuracy,agent_accuracy,enemy_spawn_count,conflict_count,human_signal_count,agent_signal_count
Negotiation_13,R1,2026-08-24T08:04:41.205711Z,2026-08-24T08:06:55.558387Z,134.35,14,6,0.5,0.643,20,2,25,22
Negotiation_13,R2,2026-08-24T08:07:02.010282Z,2026-08-24T08:09:17.898195Z,135.89,15,5,0.529,0.545,20,0,25,20
Negotiation_13,R3,2026-08-24T08:10:42.534472Z,2026-08-24T08:12:47.455676Z,124.92,13,7,0.462,0.389,20,0,21,23
Negotiation_13,R4,2026-08-24T08:12:52.469616Z,2026-08-24T08:14:53.047418Z,120.58,14,6,0.538,0.7,20,3,25,19
Negotiation_13,R5,2026-08-24T08:16:31.505654Z,2026-08-24T08:18:31.313769Z,119.81,16,4,0.769,0.857,20,0,27,20
Negotiation_13,R6,2026-08-24T08:18:36.476310Z,2026-08-24T08:20:45.786161Z,129.31,16,4,0.571,0.8,20,0,30,22
