user_id,round_id,round_start_time,round_end_time,round_duration,round_score,round_errors,human_accuracy,agent_accuracy,enemy_spawn_count,conflict_count,human_signal_count,agent_signal_count
Negotiation_51,R1,2026-09-13T06:27:52.941950Z,2026-09-13T06:30:13.355971Z,140.41,12,8,0.136,0.818,20,1,27,20
Negotiation_51,R2,2026-09-13T06:30:19.804226Z,2026-09-13T06:32:40.736370Z,140.93,16,4,0.1,0.652,20,3,15,21
Negotiation_51,R3,2026-09-13T06:33:59.482302Z,2026-09-13T06:36:08.716931Z,129.23,17,3,0.25,0.733,20,0,27,21
Negotiation_51,R4,2026-09-13T06:36:13.274581Z,2026-09-13T06:38:26.206537Z,132.93,16,4,0.222,0.385,20,0,34,21
Negotiation_51,R5,2026-09-13T06:39:29.354794Z,2026-09-13T06:41:36.998060Z,127.64,19,1,0.304,0.857,20,0,29,22
Negotiation_51,R6,2026-09-13T06:41:44.658439Z,2026-09-13T06:43:53.790172Z,129.13,18,2,0.222,0.8,20,0,33,22
