user_id,round_id,round_start_time,round_end_time,round_duration,round_score,round_errors,human_accuracy,agent_accuracy,enemy_spawn_count,conflict_count,human_signal_count,agent_signal_count
Negotiation_42,R1,2026-09-09T05:01:46.532295Z,2026-09-09T05:04:24.976897Z,158.44,10,10,0.154,0.348,20,5,24,19
Negotiation_42,R2,2026-09-09T05:04:29.971886Z,2026-09-09T05:06:42.127978Z,132.16,14,6,0.3,0.733,20,4,12,20
Negotiation_42,R3,2026-09-09T05:08:02.041764Z,2026-09-09T05:10:21.316709Z,139.27,14,6,0.222,0.6,20,1,20,20
Negotiation_42,R4,2026-09-09T05:10:26.496046Z,2026-09-09T05:12:32.341859Z,125.85,16,4,0.75,0.684,20,1,22,20
Negotiation_42,R5,2026-09-09T05:13:29.360634Z,2026-09-09T05:15:44.880884Z,135.52,15,5,0.2,0.7,20,2,18,20
Negotiation_42,R6,2026-09-09T05:15:49.852358Z,2026-09-09T05:18:11.219871Z,141.37,14,6,0.333,0.462,20,5,14,20
