user_id,round_id,round_start_time,round_end_time,round_duration,round_score,round_errors,human_accuracy,agent_accuracy,enemy_spawn_count,conflict_count,human_signal_count,agent_signal_count
Negotiation_11,R1,2026-08-24T05:08:03.319364Z,2026-08-24T05:10:27.394629Z,144.08,13,7,0.256,0.273,20,8,0,19
Negotiation_11,R2,2026-08-24T05:10:35.132834Z,2026-08-24T05:13:08.948358Z,153.82,14,6,0.143,0.474,20,2,9,21
Negotiation_11,R3,2026-08-24T05:14:08.467207Z,2026-08-24T05:16:35.109796Z,146.64,17,3,0.462,0.647,20,1,11,20
Negotiation_11,R4,2026-08-24T05:16:40.348857Z,2026-08-24T05:19:19.756904Z,159.41,12,8,0.417,0.636,20,3,19,20
Negotiation_11,R5,2026-08-24T05:20:50.672471Z,2026-08-24T05:23:14.230765Z,143.56,13,7,0.308,0.6,20,1,30,20
Negotiation_11,R6,2026-08-24T05:23:19.396997Z,2026-08-24T05:25:49.850663Z,150.45,15,5,0.5,0.625,20,2,26,21
