user_id,round_id,round_start_time,round_end_time,round_duration,round_score,round_errors,human_accuracy,agent_accuracy,enemy_spawn_count,conflict_count,human_signal_count,agent_signal_count
Human Dominant_18,R1,2026-08-25T06:39:28.089774Z,2026-08-25T06:41:53.007619Z,144.92,15,5,0.182,0.684,20,1,48,0
Human Dominant_18,R2,2026-08-25T06:41:58.654745Z,2026-08-25T06:44:05.590325Z,126.94,15,5,0.273,0.857,20,3,42,0
Human Dominant_18,R3,2026-08-25T06:45:26.668886Z,2026-08-25T06:47:40.307447Z,133.64,18,2,0.5,0.5,20,0,37,0
Human Dominant_18,R4,2026-08-25T06:47:48.769189Z,2026-08-25T06:49:52.404148Z,123.63,16,4,0.357,0.579,20,0,40,0
Human Dominant_18,R5,2026-08-25T06:50:56.111411Z,2026-08-25T06:53:01.714569Z,125.6,16,4,0.19,0.632,20,2,48,0
Human Dominant_18,R6,2026-08-25T06:53:05.838290Z,2026-08-25T06:55:23.266378Z,137.43,17,3,0.312,0.462,20,2,43,0
