user_id,round_id,round_start_time,round_end_time,round_duration,round_score,round_errors,human_accuracy,agent_accuracy,enemy_spawn_count,conflict_count,human_signal_count,agent_signal_count
No Signal_34,R1,2026-09-04T08:02:54.544601Z,2026-09-04T08:05:28.118536Z,153.57,12,8,0.217,0.583,20,4,0,0
No Signal_34,R2,2026-09-04T08:05:33.074311Z,2026-09-04T08:07:48.947409Z,135.87,17,3,0.538,0.833,20,0,0,0
No Signal_34,R3,2026-09-04T08:09:43.744993Z,2026-09-04T08:11:57.414240Z,133.67,17,3,0.5,0.733,20,0,0,0
No Signal_34,R4,2026-09-04T08:12:02.318392Z,2026-09-04T08:14:30.515605Z,148.2,17,3,0.263,0.6,20,2,0,0
No Signal_34,R5,2026-09-04T08:15:52.090492Z,2026-09-04T08:18:04.234968Z,132.14,14,6,0.625,0.818,20,2,0,0
No Signal_34,R6,2026-09-04T08:18:12.902582Z,2026-09-04T08:20:11.493940Z,118.59,17,3,0.5,1.0,20,0,0,0
