user_id,round_id,round_start_time,round_end_time,round_duration,round_score,round_errors,human_accuracy,agent_accuracy,enemy_spawn_count,conflict_count,human_signal_count,agent_signal_count
Negotiation_26,R1,2026-09-02T08:03:45.300662Z,2026-09-02T08:06:12.552391Z,147.25,11,9,0.2,0.625,20,15,44,24
Negotiation_26,R2,2026-09-02T08:06:20.149242Z,2026-09-02T08:08:38.143302Z,137.99,14,6,0.462,0.571,20,0,23,22
Negotiation_26,R3,2026-09-02T08:10:10.953744Z,2026-09-02T08:12:14.285029Z,123.33,17,3,0.529,0.667,20,0,22,19
Negotiation_26,R4,2026-09-02T08:12:24.628891Z,2026-09-02T08:14:38.590989Z,133.96,14,6,0.385,0.562,20,0,26,27
Negotiation_26,R5,2026-09-02T08:15:49.926034Z,2026-09-02T08:17:52.716782Z,122.79,17,3,0.375,0.727,20,1,22,21
Negotiation_26,R6,2026-09-02T08:17:59.849705Z,2026-09-02T08:20:16.057554Z,136.21,14,6,0.417,0.692,20,0,28,25
